# Sensor type: Respeck
# Activity type: Standing
# Activity code: 100
# Subject id: s1234567
# Notes: 
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1631881995368,-0.18066406,-0.9397583,0.30291748,-0.4375,0.40625,1.890625
1631881995415,-0.18334961,-0.9390259,0.30047607,-0.453125,-0.421875,0.234375
1631881995458,-0.18554688,-0.9368286,0.30218506,-0.421875,-0.484375,0.109375
1631881995489,-0.1862793,-0.9314575,0.3102417,-0.484375,-0.296875,0.546875
1631881995534,-0.16748047,-0.9224243,0.29974365,1.765625,-1.09375,-1.5625
1631881995578,-0.19213867,-0.94415283,0.29901123,1.390625,-2.53125,-1.625
1631881995609,-0.1899414,-0.9348755,0.3007202,-0.078125,-1.15625,1.109375
1631881995654,-0.17993164,-0.94000244,0.31219482,-0.8125,1.453125,1.5625
1631881995698,-0.18115234,-0.9312134,0.29022217,-0.71875,-1.1875,-0.125
1631881995728,-0.18554688,-0.93341064,0.3143921,-0.34375,-0.65625,0.421875
1631881995774,-0.17675781,-0.93218994,0.30145264,0.203125,-1.15625,0.65625
1631881995804,-0.18164062,-0.93048096,0.30413818,0.09375,-0.84375,-0.015625
1631881995848,-0.19140625,-0.93414307,0.31756592,1.46875,-0.703125,0.59375
1631881995894,-0.18139648,-0.9343872,0.2982788,2.171875,-1.109375,0.921875
1631881995969,-0.17285156,-0.93829346,0.293396,1.234375,-0.359375,0.34375
1631881995971,-0.18188477,-0.9487915,0.2909546,0.28125,-0.9375,0.421875
1631881996014,-0.17333984,-0.9365845,0.30194092,0.203125,-0.109375,0.375
1631881996044,-0.18945312,-0.9380493,0.30316162,0.203125,-0.984375,0.765625
1631881996089,-0.17602539,-0.93096924,0.2975464,-0.421875,-0.65625,0.828125
1631881996134,-0.17919922,-0.9360962,0.30047607,0.078125,-0.53125,0.65625
1631881996164,-0.18139648,-0.9378052,0.30023193,0.171875,-0.9375,-0.140625
1631881996209,-0.17919922,-0.9402466,0.29534912,-0.390625,0.0,0.546875
1631881996254,-0.18481445,-0.9338989,0.30633545,0.34375,0.015625,0.890625
1631881996298,-0.1665039,-0.9524536,0.29364014,-0.078125,-1.171875,0.0
1631881996328,-0.1809082,-0.93218994,0.29315186,0.171875,-1.09375,0.4375
1631881996359,-0.17651367,-0.93878174,0.3078003,1.0,-0.953125,1.015625
1631881996403,-0.171875,-0.927063,0.28582764,0.53125,0.0,0.578125
1631881996448,-0.17626953,-0.93707275,0.3126831,1.328125,0.875,1.328125
1631881996478,-0.17114258,-0.93536377,0.29193115,1.296875,-1.53125,0.375
1631881996524,-0.18115234,-0.9487915,0.29315186,0.453125,-0.625,0.46875
1631881996568,-0.17114258,-0.94781494,0.29559326,-0.203125,-0.171875,1.078125
1631881996615,-0.16748047,-0.93927,0.2904663,-0.96875,-1.078125,-0.0625
1631881996643,-0.16821289,-0.92510986,0.30682373,-1.578125,-0.859375,0.109375
1631881996691,-0.17797852,-0.93927,0.30096436,-0.296875,-0.875,0.5
1631881996718,-0.18066406,-0.9414673,0.2994995,0.0,-1.0625,0.828125
1631881996763,-0.171875,-0.940979,0.29437256,-0.640625,0.265625,0.890625
1631881996809,-0.15844727,-0.94000244,0.2970581,-0.921875,-0.453125,0.015625
1631881996839,-0.16235352,-0.93096924,0.2982788,-0.1875,-0.890625,0.015625
1631881996883,-0.17797852,-0.9319458,0.30023193,0.265625,-0.921875,0.609375
1631881996914,-0.16430664,-0.9378052,0.29974365,-0.515625,-1.671875,0.3125
1631881996959,-0.17089844,-0.9356079,0.2994995,-0.390625,-0.828125,0.828125
1631881997003,-0.17456055,-0.93048096,0.30047607,-0.796875,-0.421875,0.125
1631881997035,-0.16577148,-0.9295044,0.3102417,-0.390625,1.359375,1.046875
1631881997079,-0.16674805,-0.9446411,0.29412842,-1.015625,0.3125,-0.203125
1631881997124,-0.17749023,-0.9248657,0.3156128,-0.390625,-0.734375,0.125
1631881997154,-0.1574707,-0.9248657,0.28948975,-0.953125,-1.21875,-0.203125
1631881997198,-0.17700195,-0.93951416,0.30291748,0.421875,-0.9375,-0.34375
1631881997244,-0.16845703,-0.93756104,0.31121826,-0.765625,-0.546875,-0.171875
1631881997275,-0.16772461,-0.93536377,0.3007202,-1.1875,-0.65625,-0.484375
1631881997318,-0.17382812,-0.92633057,0.31829834,-1.328125,-1.609375,-1.046875
1631881997348,-0.16088867,-0.92803955,0.30413818,0.0,-3.5,-1.765625
1631881997394,-0.18896484,-0.925354,0.3131714,1.15625,-3.0625,-0.59375
1631881997439,-0.18017578,-0.92974854,0.3156128,0.0625,-1.390625,-1.046875
1631881997469,-0.17773438,-0.928772,0.30755615,0.46875,-0.953125,-0.421875
1631881997528,-0.18310547,-0.9338989,0.31536865,0.078125,-1.328125,-0.875
1631881997559,-0.18676758,-0.93756104,0.30462646,-0.140625,-0.75,-0.296875
1631881997589,-0.19018555,-0.92755127,0.30950928,0.28125,-1.0,-0.09375
1631881997635,-0.1940918,-0.92755127,0.30389404,0.21875,-1.28125,-0.71875
1631881997678,-0.19335938,-0.93536377,0.32147217,0.890625,-1.109375,0.09375
1631881997709,-0.17993164,-0.92388916,0.29779053,0.4375,-3.484375,-0.484375
1631881997754,-0.19335938,-0.93341064,0.32635498,0.765625,-2.6875,0.46875
1631881997798,-0.18432617,-0.9368286,0.2987671,-0.4375,-1.609375,-0.671875
1631881997829,-0.20581055,-0.9360962,0.3102417,-1.84375,0.234375,-1.140625
1631881997874,-0.20166016,-0.91973877,0.3048706,-0.140625,-0.390625,0.390625
1631881997904,-0.18652344,-0.93292236,0.30413818,-0.859375,-1.328125,0.375
1631881997948,-0.20263672,-0.9234009,0.31463623,-1.296875,-1.421875,-0.1875
1631881997995,-0.1940918,-0.92974854,0.30755615,-0.203125,-1.421875,-0.078125
1631881998039,-0.19116211,-0.9290161,0.31365967,1.125,-0.3125,0.390625
1631881998068,-0.18847656,-0.92926025,0.31463623,0.390625,-0.828125,0.046875
1631881998114,-0.19213867,-0.92803955,0.31048584,-0.046875,-0.703125,-0.234375
1631881998146,-0.19360352,-0.9248657,0.3085327,0.421875,-1.78125,-0.28125
1631881998189,-0.2055664,-0.93170166,0.3163452,0.15625,-0.578125,0.328125
1631881998233,-0.20092773,-0.92681885,0.29632568,0.5625,-0.171875,0.109375
1631881998265,-0.20410156,-0.927063,0.29681396,0.890625,0.15625,0.15625
1631881998309,-0.19458008,-0.93707275,0.32073975,1.234375,1.109375,0.453125
1631881998339,-0.1940918,-0.92681885,0.29779053,0.78125,-0.015625,0.265625
1631881998384,-0.18066406,-0.93341064,0.31658936,0.484375,0.828125,0.875
1631881998428,-0.17871094,-0.9290161,0.3024292,-0.0625,1.078125,1.21875
1631881998459,-0.19604492,-0.93218994,0.3036499,0.625,0.515625,0.828125
1631881998504,-0.1875,-0.9380493,0.31072998,1.140625,-0.21875,0.5
1631881998549,-0.18481445,-0.9307251,0.3036499,-0.109375,-0.21875,0.859375
1631881998578,-0.18823242,-0.9319458,0.30584717,0.109375,-0.703125,0.75
1631881998624,-0.18359375,-0.9378052,0.29852295,1.5625,-1.0625,0.015625
1631881998668,-0.19165039,-0.93585205,0.30194092,1.40625,-0.703125,0.515625
1631881998698,-0.18359375,-0.93756104,0.29925537,0.234375,0.46875,1.1875
1631881998744,-0.19042969,-0.9336548,0.29901123,0.90625,-1.578125,0.0
1631881998819,-0.18457031,-0.93829346,0.29656982,1.5625,-1.078125,0.15625
1631881998821,-0.18896484,-0.9356079,0.30316162,-0.125,0.453125,0.421875
1631881998864,-0.18481445,-0.93829346,0.29681396,0.453125,-0.703125,0.546875
1631881998894,-0.1850586,-0.928772,0.28338623,0.53125,-1.03125,0.046875
1631881998938,-0.19116211,-0.9434204,0.3163452,1.109375,0.53125,0.828125
1631881998984,-0.17553711,-0.9277954,0.28704834,0.40625,-1.21875,0.25
1631881999014,-0.18188477,-0.9336548,0.31121826,-0.34375,0.078125,0.796875
1631881999058,-0.18139648,-0.93878174,0.29144287,1.171875,-1.21875,0.484375
1631881999104,-0.19116211,-0.942688,0.2946167,0.6875,0.125,0.953125
1631881999134,-0.17700195,-0.94000244,0.29071045,0.40625,-0.703125,0.21875
1631881999179,-0.17700195,-0.9360962,0.29315186,0.453125,-0.9375,0.21875
1631881999225,-0.18334961,-0.93829346,0.28778076,0.28125,-0.5625,0.3125
1631881999269,-0.18457031,-0.940979,0.29144287,0.765625,-0.078125,0.578125
