# Sensor type: Respeck
# Activity type: Desk work
# Activity code: 31
# Subject id: s1234567
# Notes: 
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1631881947297,0.011962891,-0.9866333,0.06707764,2.125,-1.609375,0.078125
1631881947326,0.015625,-0.9849243,0.08099365,0.203125,-0.203125,0.953125
1631881947368,0.03173828,-1.0027466,0.06463623,2.171875,0.15625,1.203125
1631881947398,0.04736328,-0.986145,0.047546387,1.765625,-0.46875,0.65625
1631881947459,0.060058594,-0.9968872,0.035827637,1.265625,-1.546875,0.265625
1631881947489,0.052001953,-1.0042114,0.04534912,1.25,-1.578125,-0.09375
1631881947519,0.056152344,-0.98638916,0.024353027,1.078125,-0.53125,-0.03125
1631881947564,0.048828125,-0.9902954,0.034118652,-0.53125,-0.125,0.203125
1631881947610,0.045654297,-0.99664307,0.028747559,-1.203125,2.34375,0.8125
1631881947641,0.03491211,-0.99224854,0.035339355,-1.46875,2.3125,0.828125
1631881947684,0.033935547,-0.9859009,0.05291748,0.21875,1.171875,0.984375
1631881947730,0.049804688,-0.9915161,0.034851074,-0.90625,1.5,0.5625
1631881947761,0.05029297,-0.9944458,0.051208496,-1.078125,0.609375,0.171875
1631881947806,0.052734375,-1.0010376,0.06390381,-0.34375,-1.953125,0.046875
1631881947867,0.008300781,-1.0164185,-0.00592041,1.296875,-2.609375,-0.21875
1631881947880,0.036132812,-0.9680786,-0.012512207,-0.40625,2.59375,0.15625
1631881947926,0.103271484,-0.94903564,0.12176514,-8.03125,3.515625,-0.40625
1631881947970,0.088134766,-0.98760986,0.20037842,2.71875,-3.09375,1.6875
1631881947999,0.03466797,-1.0078735,0.057800293,4.28125,-9.109375,2.734375
1631881948049,0.056152344,-1.0476685,-0.053527832,2.46875,-9.859375,1.03125
1631881948079,0.01953125,-0.99176025,-0.007873535,-4.046875,-0.9375,-1.765625
1631881948119,-0.024414062,-0.972229,0.058532715,-7.078125,0.546875,-1.5
1631881948164,-0.0026855469,-0.9859009,0.078552246,-1.859375,2.484375,-0.375
1631881948198,0.07324219,-0.98638916,0.06414795,1.734375,4.171875,-0.1875
1631881948239,0.12451172,-1.0215454,0.05999756,0.140625,1.453125,-0.9375
1631881948284,0.06738281,-1.0083618,0.014099121,0.390625,-2.4375,0.171875
1631881948319,0.0146484375,-0.93829346,0.06781006,-3.03125,-2.421875,1.953125
1631881948383,0.020263672,-0.9661255,0.15252686,-3.984375,-4.796875,2.34375
1631881948394,0.047851562,-1.0122681,0.09100342,3.1875,-6.3125,1.78125
1631881948437,0.033935547,-1.0088501,0.06048584,2.984375,-4.9375,0.109375
1631881948479,0.016357422,-0.9890747,0.04486084,0.25,-0.328125,-1.875
1631881948509,0.011230469,-1.0090942,0.05682373,-1.671875,3.484375,-2.234375
1631881948554,0.007080078,-0.9800415,0.07147217,-0.40625,5.1875,-0.09375
1631881948600,0.001953125,-0.96173096,0.058532715,-1.703125,6.734375,1.03125
1631881948629,0.060058594,-0.9902954,0.09051514,0.125,8.8125,0.375
1631881948678,0.12792969,-1.008606,0.07977295,3.09375,5.078125,0.21875
1631881948720,0.12426758,-0.9985962,0.044128418,2.0,-0.59375,-0.4375
1631881948750,0.09350586,-0.986145,0.050964355,-2.640625,-4.5625,-0.140625
1631881948795,0.048095703,-0.9963989,0.0758667,-3.703125,-7.734375,0.796875
1631881948871,0.024169922,-0.9976196,0.070739746,-2.0625,-8.375,1.328125
1631881948876,-0.0078125,-0.97320557,0.07952881,-0.75,-3.953125,0.71875
1631881948921,-0.0012207031,-0.98028564,0.089782715,0.25,0.03125,0.4375
1631881948947,0.039794922,-0.9993286,0.06585693,1.578125,0.984375,0.09375
1631881948989,0.068603516,-0.9998169,0.062683105,-0.6875,1.03125,-0.46875
1631881949037,0.08178711,-1.0042114,0.08905029,-1.859375,-0.234375,-0.6875
1631881949067,0.06347656,-0.9976196,0.08050537,-0.71875,-2.984375,0.0625
1631881949110,0.04248047,-0.9854126,0.07098389,-0.34375,-3.203125,0.703125
1631881949154,0.030029297,-0.9751587,0.08001709,-1.171875,-3.109375,0.96875
1631881949186,0.0126953125,-0.9944458,0.081726074,-0.109375,-2.21875,0.96875
1631881949231,0.036865234,-0.9939575,0.077819824,1.09375,-1.75,0.171875
1631881949279,0.04711914,-0.9824829,0.07098389,-0.4375,-1.09375,-0.78125
1631881949309,0.049072266,-0.9932251,0.082458496,-1.28125,-0.359375,-0.734375
1631881949349,0.034423828,-0.9985962,0.0914917,0.03125,-0.703125,0.390625
1631881949399,0.011962891,-0.97979736,0.09222412,0.0,-0.390625,1.078125
1631881949430,0.024658203,-0.98809814,0.07562256,-0.15625,0.6875,0.71875
1631881949469,0.036621094,-0.99005127,0.090270996,1.203125,2.25,0.125
1631881949500,0.050048828,-0.986145,0.07635498,2.578125,0.203125,-0.140625
1631881949545,0.0715332,-0.9890747,0.070495605,0.359375,-0.203125,-0.328125
1631881949604,0.072021484,-1.0110474,0.097595215,-0.921875,-2.203125,-0.5
1631881949619,0.028808594,-1.0020142,0.08270264,0.453125,-4.890625,0.96875
1631881949671,0.03540039,-0.9793091,0.03704834,-0.0625,-3.46875,0.71875
1631881949711,0.014160156,-0.9714966,0.09564209,-0.828125,1.828125,0.203125
1631881949739,0.013916016,-0.97857666,0.09613037,2.109375,0.265625,0.25
1631881949788,0.030517578,-1.0022583,0.058288574,2.125,0.875,0.125
1631881949829,0.06665039,-1.0071411,0.066345215,0.59375,1.5625,-0.703125
1631881949861,0.061035156,-1.0012817,0.08074951,-1.21875,-0.015625,-0.734375
1631881949906,0.045410156,-0.987854,0.07757568,-0.1875,-1.78125,0.046875
1631881949938,0.040527344,-0.9751587,0.06707764,-0.703125,-1.5,0.484375
1631881949979,0.044677734,-0.9841919,0.089782715,0.4375,-1.703125,0.5625
1631881950027,0.035888672,-0.98443604,0.082214355,1.984375,-3.6875,0.5625
1631881950121,0.048583984,-0.99298096,0.058532715,1.640625,-3.359375,0.140625
1631881950126,0.05102539,-1.0003052,0.07928467,0.703125,-2.3125,-0.109375
1631881950146,0.018554688,-0.99053955,0.094177246,0.8125,-3.109375,0.640625
1631881950181,2.4414062E-4,-0.98394775,0.06536865,-0.921875,-2.9375,1.484375
1631881950219,0.020751953,-0.9937134,0.06536865,-0.546875,-0.359375,0.859375
1631881950268,0.0390625,-0.98443604,0.08538818,1.109375,0.5625,0.09375
1631881950298,0.041992188,-0.9849243,0.05633545,1.53125,-0.53125,-0.890625
1631881950340,0.052734375,-1.0112915,0.07269287,0.03125,1.65625,-1.65625
1631881950388,0.041503906,-1.0061646,0.07757568,0.078125,0.890625,-0.421875
1631881950417,0.005126953,-0.9690552,0.066101074,-2.484375,-0.21875,1.34375
1631881950460,0.021484375,-0.97442627,0.06707764,-1.890625,3.28125,0.984375
1631881950489,0.032958984,-0.98809814,0.08123779,0.953125,4.359375,0.46875
1631881950537,0.045410156,-0.9932251,0.070007324,2.390625,-0.03125,0.0625
1631881950579,0.06274414,-0.9985962,0.059020996,0.015625,-0.484375,-1.015625
1631881950611,0.064697266,-1.0059204,0.066101074,-1.375,0.25,-1.203125
1631881950660,0.018310547,-0.99053955,0.090026855,-0.796875,-2.109375,0.8125
1631881950701,0.0068359375,-0.97906494,0.06536865,-0.765625,-1.625,1.59375
1631881950731,0.041015625,-0.9898071,0.06536865,-0.265625,1.359375,0.796875
1631881950792,0.049560547,-0.99468994,0.086364746,2.734375,1.015625,0.125
1631881950838,0.061035156,-1.0015259,0.057556152,1.671875,-1.28125,-0.375
1631881950849,0.06665039,-0.99346924,0.054626465,-1.0625,0.234375,-1.046875
1631881950897,0.049316406,-0.99420166,0.09637451,-1.375,-0.78125,-0.15625
1631881950939,0.010009766,-0.98150635,0.08001709,-0.34375,-4.0,1.234375
1631881950971,0.011962891,-0.98028564,0.061462402,-0.4375,-1.75,1.3125
1631881951016,0.031982422,-0.9932251,0.08416748,0.59375,0.640625,0.78125
1631881951045,0.03515625,-0.99664307,0.08343506,2.96875,-0.734375,0.640625
1631881951089,0.061279297,-0.9985962,0.042419434,2.28125,-2.3125,-0.109375
1631881951137,0.07055664,-1.0049438,0.05633545,-1.203125,-0.625,-1.015625
1631881951164,0.028320312,-0.9998169,0.098083496,-1.03125,-2.4375,0.609375
1631881951210,0.017089844,-0.9805298,0.05706787,-0.828125,-3.75,1.359375
1631881951256,0.012939453,-0.98101807,0.045837402,-1.328125,0.953125,0.546875
1631881951288,0.041259766,-0.9849243,0.093444824,1.078125,2.40625,0.4375
